ID	Link	Authors	Year	Title	Article type	Venue	Direct quotes	Other info	Bibtex citation	Related papers	Tags
ID_001	https://eric.ed.gov/?id=EJ1086242	Sajna Jaleel;P Premachandran	2016	A Study on the Metacognitive Awareness of Secondary School Students	Article	Universal Journal of Educational Research	"* **Metacognition means ""thinking about one's own thinking""**. There are two aspects of metacognition:;- **reflection-thinking** about what we know and;- **self-regulation-managing** how we go about learning.
* Metacognitive awareness means being aware of how you think [...] **It enables students to be more mindful of what they are doing**, and why, and of how the skills they are learning might be used differently in different situations.
* **students show a considerable variation in their metacognitive ability**
* Learners often show an **increase in self-confidence** when they build metacognitive skills
* For all age groups, metacognitive knowledge is crucial for efficient independent learning, because it fosters forethought and self-reflection. **Good metacognitive thinkers are also good intentional learners.**
* Activities that encourage a reflective and strategic stance towards learning should be embedded in the regular activities of a classroom"	"* there is **no significant difference** in the metacognitive awareness of secondary school students **based on Gender, Location or type of management of the school**
* Can be used to snowball some studies using older metacognitive awareness tools
* Generally can be used to snowball a vairety of studies with nice summarys for each"	@article{jaleel2016study, title={A Study on the Metacognitive Awareness of Secondary School Students.}, author={Jaleel, Sajna and Premachandran, P.}, journal={Universal journal of educational research}, volume={4}, number={1}, pages={165--172}, year={2016}, publisher={ERIC}, doi={10.13189/ujer.2016.040121}}	ID_004 | Discusses other demographic differences in metacognitive skills;ID_017 | Contrast: Age influence	Metacognition - Differences;Metacognition;Empirical;Metacognition - Importance;Secondary Education
ID_002	https://eric.ed.gov/?id=EJ1086242	Janne Rotter;William Bailkoski	2026	AI Adoption in NGOs: A Systematic Literature Review	Article	ACM JCSS	Test 1.1;Test 2.1	Test 1.1	@article{rotter2026ai}		Survey
ID_003	https://pmc.ncbi.nlm.nih.gov/articles/PMC8734377/	Julie Dangremond Stanton;Amanda J Sebesta;John Dunlosky	2021	Fostering Metacognition to Support Student Learning and Performance	Article	CBE Life Science Education	"* Strong **metacognitive skills have the power to impact student learning and performance**
* The ways students enact the same learning strategy can differ greatly
* **Students often rate their confidence in their learning based on their ability to recognize, rather than [acuratly] recall**, concepts.
* Three main areas in which faculty can foster students' metacognition: supporting student learning strategies (i.e., study skills), encouraging monitoring and control of learning, and promoting social metacognition during group work
* Summarizes metacognitive strategys:
* **Craming** Issue: Some students use approaches that engage their metacognition, but they often do so without a full understanding of the benefits of these approaches (Karpicke et al., 2009). Students tend to cram because this approach is often effective for boosting short-term performance, although it does not promote long-term retention.
* **Self-testing**: provides students with opportunities to monitor their understanding of material and identify gaps in their understanding. Self-testing also allows students to activate relevant knowledge and encode prompted information so it can be more easily accessed from their memory in the future (Dunlosky et al., 2013)
* **Spacing** Mechanism: Students space their studying when they spread their learning of the same material over multiple sessions. When students spread their learning over multiple sessions, they are less susceptible to superficial familiarity with concepts (Kornell and Bjork, 2008).
* **Interleaving** Mechanism: Students interleave when they alternate studying of information from one category with studying of information from another category. This allows students to discriminate across categories (Rohrer et al., 2020). Interleaving between categories also supports student learning because it usually results in spacing of study.
* **Surface and deep strategies**: Deep strategies involve extending and connecting ideas or applying knowledge in new ways. Surface strategies involve recalling and reproducing content. Can be used together (Hattie and Donoghue, 2016).
* **Social metacognition**: Social metacognition happens when students share ideas with peers, invite peers to evaluate their ideas, and evaluate ideas shared by peers (Goos et al., 2002)."	"* Developed a teacher guide for how to use metacgonition based on literature
* Challenges: metacognition is a term used so broadly its meaning may not be clear (Veenman et al., 2006). It includes multiple processes named differently across disciplines. The tacit nature of metacognitive processes makes it difficult for instructors to observe or measure."	@article{stanton2021fostering, title={Fostering metacognition to support student learning and performance}, author={Stanton, Julie Dangremond and Sebesta, Amanda J and Dunlosky, John}, journal={CBE—Life Sciences Education}, volume={20}, number={2}, pages={fe3}, year={2021}, publisher={American Society for Cell Biology}, doi={10.1187/cbe.20-12-0289}}		Metacognition - Importance;Metacognition;Theoretical;Metacognition - Challenges
ID_004	https://www.mdpi.com/2075-4698/15/1/6	Michael Gerlich	2026	AI Tools in Society: Impacts on Cognitive Offloading and the Future of Critical Thinking	Article	Societies	"* Findings revealed a **significant negative correlation between frequent AI tool usage and critical thinking abilities**, mediated by increased cognitive offloading;* **Younger participants exhibited higher dependence on AI tools and lower critical thinking scores compared to older participants**. Higher educational attainment was associated with better critical thinking skills regardless of AI usage.
* **Negative effects of cognitive offloading**: Cognitive offloading involves using external tools to reduce cognitive load on working memory. While this can free up cognitive resources, it may lead to a decline in cognitive engagement and skill development. **Excessive reliance on external aids may lead to a decline in internal cognitive abilities** such as memory retention and critical analysis skills.
* **Potential negative impact of AI tools**: Gerlich (2024) shows that AI in educational settings does not always improve cognitive or communication skills, particularly in students who already demonstrate well-developed abilities. Increased trust in AI tools can result in greater cognitive offloading, reducing engagement in critical thinking.
* **Cognitive load theory**: Developed by Sweller (1988), posits that the human cognitive system has limited capacity and reducing cognitive load can enhance learning and performance.
* **Empirical verifications**: Students who heavily relied on AI dialogue systems exhibited diminished decision-making and critical analysis abilities (Zhai et al.). Over-reliance on AI tools led to reduced problem-solving skills with lower engagement in independent cognitive processing (Krullaars et al.)."	"* Discusses and summarizes tools for assesing critical thinking skills
* AI: The central paradox at the nexus of AI and learning is the tension between a student's desire for efficiency and the cognitive effort required for deep learning. While AI tools can provide instant answers, this convenience comes with a significant potential cost: a decline in critical thinking and problem-solving abilities. This phenomenon is known as ""cognitive offloading."""	@article{gerlich2025ai, title={AI tools in society: Impacts on cognitive offloading and the future of critical thinking}, author={Gerlich, Michael}, journal={Societies}, volume={15}, number={1}, pages={6}, year={2025}, publisher={Multidisciplinary Digital Publishing Institute}, doi={10.3390/soc15010006}}		Cognitive Offloading;AI - Negative Impact;Metacognition - Differences;Main Paper;Metacognition
ID_005	https://www.sciencedirect.com/science/article/abs/pii/B9780121098902500317	Barry Zimmermann	2000	Attaining Self-Regulation: A Social Cognitive Perspective	Book Chapter	Handbook of Self-Regulation		"* **Zimmerman's Self-Regulated Learning (SRL) Model** explains how learners actively control their own learning through a cyclical process. It emphasizes metacognition, motivation, and behavior.
* **1. Forethought Phase (Before Learning)**: Focuses on planning and motivation. Learners set goals, plan strategies, and develop self-motivation beliefs (e.g., self-efficacy, outcome expectations, intrinsic interest, goal orientation). Key processes: goal setting, strategic planning, self-motivation.
* **2. Performance Phase (During Learning)**: Focuses on strategy use and self-control. Learners implement strategies, monitor progress, and manage attention and effort. Key processes: attention focusing, task strategies, self-instruction, monitoring.
* **3. Self-Reflection Phase (After Learning)**: Focuses on evaluating performance. Learners judge progress against goals, attribute causes of success/failure, and develop adaptive reactions. Key processes: self-evaluation, causal attribution, self-satisfaction, adaptive/defensive responses.;* **Core Idea**: Zimmerman's model is **cyclical**: reflection influences future forethought, meaning learners refine goals and strategies based on past experiences."	@incollection{zimmerman2000attaining, title={Attaining self-regulation: A social cognitive perspective}, author={Zimmerman, Barry J}, booktitle={Handbook of self-regulation}, pages={13--39}, year={2000}, publisher={Elsevier}}	"ID_009 | Closly tied to metacognition;ID_027 | Heavily draws on scaffolding;ID_054 | Connects SRL and AI Literacy;ID_055 | Survey;common measurments + future research directions | "	Self-regulated learning;Framework;Foundational Paper;Main Paper
ID_006	https://educationendowmentfoundation.org.uk/education-evidence/teaching-learning-toolkit	Education Endowment Foundation	2026	Teaching and Learning Toolkit	Website			"* Guide that for different educational interventions details how much they cost and how much evidence there is that they are effective
* Cites 'Metacognition and self-regulation"" as very low cost and extremly beneficial"	"@misc{EEF2024toolkit,
  author       = {{Education Endowment Foundation}},
  title        = {Teaching and Learning Toolkit},
  year         = {2026},
  url          = {https://educationendowmentfoundation.org.uk/education-evidence/teaching-learning-toolkit},
  note         = {Accessed: 2026-03-24}
}"		Metacognition - Importance;Metacognition
ID_007	https://pmc.ncbi.nlm.nih.gov/articles/PMC7298225/#:~:text=Metacognition%20can%20be%20measured%20in,decisions%20during%20their%20learning%20process.	Michelle L. Rivers;John Dunlosky;Adam M. Persky	2020	Measuring Metacognitive Knowledge, Monitoring, and Control in the Pharmacy Classroom and Experiential Settings	Article	Pharmaceutical Education	* Metacognition can be measured in a variety of ways depending on whether the interest is knowledge, monitoring, or control	"* **provide a [great] user’s guide on measuring metacognition in authentic contexts**
* references this framework for metacognition: Metacognition consists of three primary components: knowledge, monitoring, and control (Dunlosky J, Metcalfe J. Metacognition, 2008)"	"@article{rivers2020measuring,
  title={Measuring metacognitive knowledge, monitoring, and control in the pharmacy classroom and experiential settings},
  author={Rivers, Michelle L and Dunlosky, John and Persky, Adam M},
  journal={American journal of pharmaceutical education},
  volume={84},
  number={5},
  pages={7730},
  year={2020},
  publisher={Elsevier},
  doi={10.5688/ajpe7730}
}"	ID_057 | Neg surveys, unrelated survey and online measures;ID_058 | Knowledge, Regulation not correlated to behaviour	Metacognition - Measurement;Metacognition
ID_008	https://arxiv.org/html/2509.03171v1	Tung Phung;Heeryung Choi;Mengyan Wu;Adish Singla;Christopher Brooks	2026	Plan More, Debug Less: Applying Metacognitive Theory to AI-Assisted Programming Education	Conference Paper	International Conference on Artificial Intelligence in Education	"* **Existing studies** often focus on technical correctness [8] or student preference [2, 9] and **overlook the importance of grounding AI-generated feedback in [programing education] well-established pedagogical theories**, potentially limiting the effectiveness of such feedback in student learning.
*  This study investigates the **potential of metacognitive theory to inform AI-assisted programming education through a hint system** designed around the metacognitive phases of planning, monitoring, and evaluation. Upon request, the system can provide three types of AI-generated hints–planning, debugging, and optimization–to guide students at different stages of problem-solving
* we find that **students perceive and engage with planning hints most highly**, whereas optimization hints are rarely requested. We observe a consistent association between requesting planning hints and achieving higher grades across question difficulty and student competency. --> Importannce of planing!
*  study with **102 students** in an **introductory data science programming course**
* Vieira et al. (2019) found that novice computer science students wrote longer self-explanation in-code comments compared to experienced peers because they saw self-explaining as a learning opportunity.
* Choi et al. (2023) showed that prompting reflection after programming tasks was correlated with better learning perception and performance on both immediate and delayed post-tests.
* Yilmaz and Yilmaz (2021) showed that students who received personalized metacognitive feedback weekly engaged significantly more in a Computer I course
* Recently, concerns have arisen that AI technologies might reduce students’ engagement in metacognitive practices, a concept referred to as Metacognitive laziness (Yizhou Fan, Luzhen Tang, Huixiao Le, Kejie Shen, Shufang Tan, Yueying Zhao, Yuan Shen, Xinyu Li, and Dragan Gašević. Beware of Metacognitive Laziness: Effects of Generative Artificial Intelligence on Learning Motivation, Processes, and Performance, 2024)"	* These insights contribute to the growing field of AI-assisted programming education by providing empirical evidence on the importance of pedagogical principles in AI-assisted learning.	"@inproceedings{Phung2025metacognitive,
  author    = {Phung, Tung and Choi, Hyoungwook and Wu, Meng and Singla, Adish and Brooks, Christopher},
  title     = {Plan More, Debug Less: Applying Metacognitive Theory to {AI}-Assisted Programming Education},
  booktitle = {Artificial Intelligence in Education. {AIED} 2025},
  series    = {Lecture Notes in Computer Science},
  volume    = {15877},
  pages     = {3--17},
  publisher = {Springer},
  year      = {2025},
  doi       = {10.1007/978-3-031-98414-3_1}
}"	ID_012 | Cites and uses term;ID_021 | Both focus on hints;ID_038 | Also help-seeking, but pre-genai	Metacognition - Intervention;Empirical;CS Education
ID_009	https://psycnet.apa.org/record/1980-09388-001	John Flavel	1979	Metacognition and cognitive monitoring: A new area of cognitive–developmental inquiry	Article			"* **first mention of metacognition**
* defined two areas as metacognitive knowledge- awareness of one’s 
thinking- and metacognitive regulation- the ability to manage one’s own thinking processes.
* Describes three kinds of metacognitive knowledge:  
* Awareness of knowledge- it involves understanding 
what one knows, what one does not know, and what one 
wants to know. This category may also include an 
awareness of other’s knowledge.  
* Awareness of thinking- understanding cognitive tasks 
and the nature of what is required to complete them.   
* Awareness of thinking strategies- understanding 
approaches to direct learning."	"@article{Flavell1979metacognition,
  author    = {Flavell, John H.},
  title     = {Metacognition and Cognitive Monitoring: A New Area of Cognitive--Developmental Inquiry},
  journal   = {American Psychologist},
  year      = {1979},
  volume    = {34},
  number    = {10},
  pages     = {906--911},
  doi       = {10.1037/0003-066X.34.10.906}
}"	ID_027 | Heavily draws on scaffolding	Metacognition - Framework;Main Paper;Metacognition
ID_010	https://link.springer.com/article/10.1007/s10956-010-9218-7	Sharon L. Oviatt;Adrienne O. Cohen	2010	Toward High-Performance Communications Interfaces for Science Problem Solving	Article	Journal of Science Education and Technology	"* RQ: What **type of interface input capabilities** provide best support for science problem solving in both low- and high-performing students?
* **High school students’** ability to solve a diverse range of **biology problems** was compared over longitudinal sessions while they used: (1) hardcopy paper and pencil (2) a digital paper and pen interface (3) pen tablet interface, and (4) graphical tablet interface
* time to solve problems, meta-cognitive control, solution correctness, and memory all were significantly enhanced when using the **digital pen and paper interface**
* Paradoxically, all students nonetheless believed that the tablet interfaces provided best support for their performance --> Points to low metacogntive accuracy for interface choice"		"@article{Oviatt2010communications,
  author    = {Oviatt, Sharon L. and Cohen, Adrienne O.},
  title     = {Toward High-Performance Communications Interfaces for Science Problem Solving},
  journal   = {Journal of Science Education and Technology},
  year      = {2010},
  volume    = {19},
  pages     = {515--531},
  doi       = {10.1007/s10956-010-9218-7}
}"		Metacognition - Intervention;Empirical;Metacognition;Metacongition - Accuracy;Secondary Education;Offline Intervention
